"Address"	"Total Balance"	"delphi"	"dex"	"sparta"
"0x043500bb7086c4b6457cd8362fd7306b1c90db00"	0,726758839642952070	0,726758839642952070	0	0
"0xe8b87679bf143ddc835ced7670b6f594a501fd80"	20,926068025414920726	20,926068025414920726	0	0
"0x5780837c1d9ac3cd9b72203c8a0cfac73a9fc0b8"	7198,300925511401146650	7198,300925511401146650	0	0
"0x4dab9b8fca17a37e5ef0eef7d1ac09e2ac1580fb"	55722,366627050781971775	6743,852273934506229125	0	48978,514353116275742650
"0xe6cb0096927fde2cc0ba3b8dda6913e54198952e"	8398,162666115560568869	8398,162666115560568869	0	0
"0x278aea15fd6074ad8c5f890a05bb28e336be3be5"	5461,216500848268879054	5461,216500848268879054	0	0
"0x6b6582abce056d5394c18392539ee72d8979e160"	1338,961280172447004588	1338,961280172447004588	0	0
"0xc1723b93e1aadfd00806079edf11d70461c49da0"	2704,923525307648560556	667,812066561495157657	0	2037,111458746153402899
"0x8b9fa7432c73c7135e3ec3014cc0b39720634fc2"	8096,121848168048018124	8096,121848168048018124	0	0
"0xa14f9b86da08467dd05b8c6e2c3a2f2c6214c60f"	10300,488848465034607216	10300,488848465034607216	0	0
"0x52cc6357cebe1b5114aea23e62cd773d6004b71d"	514,729520050685096066	514,729520050685096066	0	0
"0x3c3b04835a0fc640f78e63dede6b3d4ac55d688c"	5212,361335906641215843	5212,361335906641215843	0	0
"0x813413997503e41173f210c908cdb3528835cd42"	0,850370296147857307	0,850370296147857307	0	0
"0xf53feaeb035361c046e5669745695e450ebb4028"	7,755207651443355665	7,755207651443355665	0	0
"0x4ee92dbb71e04bdb8c7f83b08fc5b26659f97a4f"	4713,792027784395031631	4713,792027784395031631	0	0
"0x399abd36b9c7cef008f75d8805ee5fdf05d41773"	0,971579491248354965	0,971579491248354965	0	0
"0xfac44bfdc053a9615c6b0527f44416914628a0c4"	7721,685260226250647975	7721,685260226250647975	0	0
"0xcee32df0cb1ae7a8770ea9f10aea96fab9031f05"	0,469462995837092112	0,469462995837092112	0	0
"0xdb9a122beafa7518947437477b82ac3f08727ece"	2332,458596365349876578	2332,458596365349876578	0	0
